丸焼き,まるやき,"whole roast (pig, turkey)"
厳しい,きびしい,"severe, strict"
生ゴミ,なまゴミ,food scraps
汚す,よごす,to pollute
設定する,せっていする,"to set, establish"
思わず,おもわず,"unintentionally, spontaneously"
口先,くちさき,lip service
結局,けっきょく,"after all, in the end"
しょうがない,can’t be helped,
最新,さいしん,"latest, newest"
そういうことで,thus, at last
纏まる,まとまる,"to find resolution, to be assembled"
無駄遣い,むだづかい,waste (of money)
無駄遣いする,むだづかいする,to waste (money)
声をかける,ごえをかける,"to invite, get in touch with (informal)"
二倍,にばい,double (amount)
足元を見る,あしもとをみる,to take advantage of a weakness
値引き,ねびき,price reduction
値引きする,ねびきする,to reduce the price
向こう,むこう,"opposite side, the other person"
どうしても,no matter what, at any cost
話す練習がしたい,I want to practice speaking,
核家族,かくかぞく,nuclear family
大家族,だいかぞく,large family
修士課程,しゅうしかてい,master’s course
申し込む,もしこむ,to apply
博士課程,はくしかてい,phd course
広告,こうこく,advertisement
家庭料理,かていりょうり,home cooking
潰す,つぶす,to crush
手作り,てぶくり,handmade
ハマってる,to do (implies a hobby),
後悔,こうかい,"regret, remorse"
故障,こしょう,"breakdown, damage"